ID;OID;TYPE;NAME;LEVEL;PATIENT_INFO;SHELF_LIFE;STORAGE_TYPE;EXTENDED_LIFE;UNLIMITED_LIFE;MO_SIGN;FORMAT;START_DATE;END_DATE;IMPLEMENTATION_GUIDE;GIT_LINK;SHOW_PATIENT;IS_ONLINE;DAYS_COUNT;SERIES_REQUIRED
276;276;531;"Справка о наличии показаний к протезированию (CDA) Редакция 1";3;"Обязательны с указанием СНИЛС";"25 лет";"Хранится в МО";"Да";"Да";"Да";2;"21.11.2024";;"https://portal.egisz.rosminzdrav.ru/materials/4741";"1.2.643.5.1.13.13.15.128.1";"Нет";"Нет";;"Нет"
188;188;54;"Заключение медицинского учреждения о наличии (отсутствии) заболевания, препятствующего поступлению на государственную гражданскую службу Российской Федерации и муниципальную службу или ее прохождению (CDA) Редакция 1";3;"Обязательны с указанием СНИЛС";"25 лет";"Выдается МО";"Да";"Да";"Да";2;"14.08.2023";;"https://portal.egisz.rosminzdrav.ru/materials/4361";"1.2.643.5.1.13.13.15.81.1";"Нет";"Нет";;"Нет"
266;266;179;"Медицинское заключение о допуске к участию в физкультурных и спортивных мероприятиях (учебно-тренировочных мероприятиях и спортивных соревнованиях), мероприятиях по оценке выполнения нормативов испытаний (тестов) Всероссийского физкультурно-спортивного комплекса ""Готов к труду и обороне"" (ГТО) (CDA) Редакция 1";3;"Обязательны с указанием СНИЛС";"25 лет";"Выдается МО";"Да";"Да";"Да";2;"20.09.2024";;"https://portal.egisz.rosminzdrav.ru/materials/4743";"1.2.643.5.1.13.13.15.124.1";"Нет";"Нет";;"Нет"
254;254;506;"Протокол кесарева сечения (CDA) Редакция 1";3;"Обязательны с указанием СНИЛС";"25 лет";"Хранится в МО";"Да";"Да";"Да";2;"27.09.2024";;"https://portal.egisz.rosminzdrav.ru/materials/4745";"1.2.643.5.1.13.13.15.114.1";"Нет";"Нет";;"Нет"
262;262;510;"Протокол по результатам дистанционного наблюдения за состоянием здоровья пациента (CDA) Редакция 1";3;"Обязательны с указанием СНИЛС";"25 лет";"Выдается МО";"Да";"Да";"Да";2;"11.11.2024";;"https://portal.egisz.rosminzdrav.ru/materials/4769";"1.2.643.5.1.13.13.15.123.1";"Нет";"Нет";;"Нет"
269;269;512;"Протокол копрологического исследования (CDA) Редакция 1";3;"Обязательны с указанием СНИЛС";"25 лет";"Хранится в МО";"Да";"Да";"Да";2;"11.11.2024";;"https://portal.egisz.rosminzdrav.ru/materials/4767";"1.2.643.5.1.13.13.15.125.1";"Нет";"Нет";;"Нет"
275;275;507;"Протокол эндоскопического исследования толстой кишки (CDA) Редакция 1";3;"Обязательны с указанием СНИЛС";"25 лет";"Хранится в МО";"Да";"Да";"Да";2;"27.11.2024";;"https://portal.egisz.rosminzdrav.ru/materials/4771";"1.2.643.5.1.13.13.15.115.1";"Нет";"Нет";;"Нет"
270;270;518;"Протокол трансторакальной эхокардиографии (CDA) Редакция 1";3;"Обязательны с указанием СНИЛС";"25 лет";"Хранится в МО";"Да";"Да";"Да";2;"29.11.2024";;"https://portal.egisz.rosminzdrav.ru/materials/4773";"1.2.643.5.1.13.13.15.126.1";"Нет";"Нет";;"Нет"
100;100;52;"Справка об оплате медицинских услуг для предоставления в налоговые органы Российской Федерации (CDA) Редакция 1";3;"Обязательны с указанием СНИЛС";"25 лет";"Выдается МО";"Да";"Да";"Да";2;"04.11.2021";"01.07.2025";"https://portal.egisz.rosminzdrav.ru/materials/3991";"1.2.643.5.1.13.13.15.69.1";"Нет";"Нет";;"Нет"
101;101;73;"Медицинское заключение о допуске к выполнению работ на высоте, верхолазных работ, работ, связанных с подъемом на высоту, а также по обслуживанию подъемных сооружений (CDA) Редакция 1";3;"Обязательны с указанием СНИЛС";"25 лет";"Выдается МО";"Да";"Да";"Да";2;"04.11.2021";"01.07.2025";"https://portal.egisz.rosminzdrav.ru/materials/3989";"1.2.643.5.1.13.13.15.55.1";"Нет";"Нет";;"Нет"
103;103;51;"Медицинское заключение по результатам предварительного (периодического) медицинского осмотра (обследования) (CDA) Редакция 1";3;"Обязательны с указанием СНИЛС";"25 лет";"Выдается МО";"Да";"Да";"Да";2;"04.11.2021";;"https://portal.egisz.rosminzdrav.ru/materials/3985";"1.2.643.5.1.13.13.15.47.1";"Да";"Нет";;"Нет"
